query,n_positives,rank_first_positive,missed,hit@1,hit@5,hit@10,hit@100,rr,n_chars,n_words,n_unique_words,n_colors,n_materials,n_garments,n_patterns,has_color,has_material,has_garment,has_pattern,n_sentences
"long flowing dress with a pattern of gray and black dots. the dress is made of a flowy material and has a loose fit. the dress is long and covers the entire body, with a high neckline and long sleeves. the dress is designed to be worn over a long-sleeved top or shirt, and it is suitable for both casual and formal occasions.",1,1,0,1,1,1,1,1.0,325,64,41,2,0,3,0,1,0,1,0,4
"pink and black bomber jacket with california written on the front in black letters. the jacket has a black zipper and a black collar. the jacket is made of a soft material, possibly cotton or a cotton blend. the jacket is a fashionable piece of clothing that can be worn in a variety of settings.",1,1,0,1,1,1,1,1.0,296,55,35,2,1,1,0,1,1,1,0,4
red dress with a v-neckline and long sleeves. the dress has a fitted bodice and a flared skirt. the fabric is a stretchy knit with a textured pattern. the dress is styled in a fashionable and modern way.,1,1,0,1,1,1,1,1.0,203,39,26,1,1,2,0,1,1,1,0,4
pair of khaki colored pants with a button and zipper closure. the pants have a five pocket design and are made of a stretchy material. the pants are worn by a woman who is standing and smiling.,1,1,0,1,1,1,1,1.0,193,37,27,1,0,1,0,1,0,1,0,3
black vest with a pink button on the front. the vest has a v-neck and is made of a stretchy material. the vest is worn over a black tank top.,1,1,0,1,1,1,1,1.0,141,31,22,2,0,2,0,1,0,1,0,3
dark blue satin skirt with a black belt. the skirt has a high waist and a wide band at the bottom. the belt is tied in a bow at the back. the skirt is full and has a flowy silhouette.,1,1,0,1,1,1,1,1.0,183,40,25,2,1,2,0,1,1,1,0,4
blue and white floral print dress with a hooded design. the dress has a front button placket and a front pocket. the sleeves are long and have a floral print. the dress is worn by a woman who is standing and smiling.,1,10,0,0,0,1,1,0.1,216,42,27,2,0,1,1,1,0,1,1,4
black and beige dress with a sheer black overlay. the dress has a v-neckline and a flowing skirt with a ruffled hem. the dress is made of a stretchy material and has a sleeveless design. the beige overlay is made of a sheer fabric that drapes over the black dress. the dress is styled for a formal event and is suitable for a night out.,1,,1,0,0,0,0,0.0,336,66,34,2,0,2,2,1,0,1,1,5
pink and white blouse with a ruffled neckline and a floral pattern. the blouse is made of a sheer material and has a fitted silhouette.,1,,1,0,0,0,0,0.0,135,25,19,2,0,1,3,1,0,1,1,2
"gray tank top with black lettering on it. the lettering says ""my head says say gym but my heart says pizza.""",1,1,0,1,1,1,1,1.0,108,21,17,2,0,1,0,1,0,1,0,2
pair of black and white leggings with a pattern of black lines on a white background. the leggings are made of a stretchy material and have a comfortable fit.,1,,1,0,0,0,0,0.0,158,29,20,2,0,0,0,1,0,0,0,2
denim jacket with a hood. the jacket is gray in color and has a white zipper. the hood is made of a white knit material. the jacket also has a gray sweater underneath it.,1,1,0,1,1,1,1,1.0,170,34,22,2,2,2,0,1,1,1,0,4
pair of black leather leggings. the leggings are made of a shiny black leather material and have a zipper on the side. they are a fashionable style and are worn by a woman in the image.,1,,1,0,0,0,0,0.0,185,36,24,1,1,0,0,1,1,0,0,3
"denim jacket with a floral embroidery on the back. the jacket is blue in color and has a collar, two front pockets, and a button on the cuff. the embroidery on the back of the jacket is made up of various flowers, including sunflowers, daisies, and roses. the jacket is worn by a woman who is standing in front of a white background.",1,2,0,0,1,1,1,0.5,333,63,37,2,1,1,1,1,1,1,1,4
pink cardigan with lace details. the cardigan is worn by a woman who is standing in front of a white wall. the lace details on the cardigan are white and the pink color is a light shade. the cardigan is a crochet style and has a loose fit. the woman is wearing a black tank top underneath the cardigan.,1,1,0,1,1,1,1,1.0,302,59,34,3,1,2,1,1,1,1,1,5
"pair of pants. the pants are gray in color and have a flowy, loose fit. they are printed with a white floral pattern. the pants are high-waisted and have a drawstring for adjustable fit.",1,1,0,1,1,1,1,1.0,186,35,25,2,0,1,2,1,0,1,1,4
black and white striped dress with a short black sleeve. the dress has a crew neckline and a short black sleeve. the dress is made of a stretchy knit material and has a fitted silhouette.,1,1,0,1,1,1,1,1.0,187,35,21,2,1,1,1,1,1,1,1,3
black leather jacket with a zipper on the front. the jacket has a silver zipper and a silver zipper pull. the jacket also has a silver zipper on the sleeve. the jacket is worn by a woman with long brown hair.,1,,1,0,0,0,0,0.0,208,41,22,3,1,1,0,1,1,1,0,4
black sweater with a gray turtleneck underneath. the sweater has a unique design with a folded over front and a ruffled edge. the sleeves are long and have a loose fit. the sweater is worn by a woman who is standing in front of a white background.,1,3,0,0,1,1,1,0.3333333333333333,247,47,33,3,0,1,1,1,0,1,1,4
black dress with a v-neckline and a draped skirt. the dress is made of a stretchy material and has a flowy fit. the dress is a size large and is designed to be worn by a plus-sized woman.,1,5,0,0,1,1,1,0.2,187,40,28,1,0,2,0,1,0,1,0,3
"white pleated shirt with a ruffled collar and a long sleeve design. the shirt has a button-down front and a pointed collar. the fabric is made of a lightweight material, possibly chiffon, and the shirt has a loose fit. the ruffles on the collar and cuffs are made of a different material, possibly lace or a sheer fabric. the overall style of the shirt is a blend of feminine and casual, suitable for both work and play.",1,1,0,1,1,1,1,1.0,420,78,45,1,2,1,3,1,1,1,1,5
black lace skirt. the skirt has a high waist and a lace design with a scalloped edge. it is a knee-length skirt and is paired with a black top.,1,,1,0,0,0,0,0.0,143,30,19,1,1,2,1,1,1,1,1,3
"brown sweater with a v-neck and long sleeves. the sweater is made of a stretchy knit material and has a ribbed texture. the color of the sweater is a dark brown, almost a rust color. the sweater is designed to be worn oversized, with a loose fit that drapes well over the body.",1,9,0,0,0,1,1,0.1111111111111111,277,54,35,1,1,1,1,1,1,1,1,4
"plaid shirt with a collar, long sleeves, and a button-down design. the shirt is made of a soft, gray and white fabric. the collar is folded down and the cuffs are folded back. the shirt has a relaxed fit and is suitable for casual wear.",1,1,0,1,1,1,1,1.0,236,46,30,2,0,1,1,1,0,1,1,4
beige linen vest with a front button closure and a single chest pocket. the vest has a relaxed fit and is unlined. it is worn over a white tank top and paired with a pair of khaki pants.,1,1,0,1,1,1,1,1.0,186,38,29,3,1,3,0,1,1,1,0,3
blue and pink dress. the dress has a pink top and a blue skirt. the dress also has a black belt around the waist.,1,1,0,1,1,1,1,1.0,113,24,14,3,0,4,0,1,0,1,0,3
"gray tank top with a pocket on the front. the tank top is made of a soft and stretchy material, and it has a rounded neckline. the pocket is a small, rectangular shape and is located on the left side of the tank top. the tank top is a loose fit and is designed to be worn with a high-waisted bottom.",1,1,0,1,1,1,1,1.0,299,62,35,1,0,1,0,1,0,1,0,4
red polo shirt with a collar and short sleeves. the shirt has a white logo on the front and is made of a soft cotton material.,1,3,0,0,1,1,1,0.3333333333333333,126,26,21,2,1,1,0,1,1,1,0,2
pair of blue and white striped pants. the pants have a loose fit and are cuffed at the ankle. the pants are worn with a white belt that is tied around the waist.,1,1,0,1,1,1,1,1.0,161,33,24,2,0,2,1,1,0,1,1,3
tan and beige shearling jacket with a cream-colored sherpa collar. the jacket has a front zipper closure and a front button. the sleeves are long and have a ribbed cuff. the jacket is worn by a mannequin and is displayed in a store window.,1,1,0,1,1,1,1,1.0,239,45,31,3,0,1,1,1,0,1,1,4
"blue and white dress with lace details. the dress has a high neckline and a flowy skirt. the lace details are scattered throughout the dress, adding a delicate touch to the overall design. the dress is styled with a matching blue and white sash that ties at the waist. the dress is a fashionable and elegant choice for any special occasion.",1,1,0,1,1,1,1,1.0,340,61,38,2,1,2,1,1,1,1,1,5
"black dress with silver beading and sequins. the dress has a v-neckline and a short sleeve. the dress is a plus size and has a midi length. the beading and sequins are scattered throughout the dress, adding a touch of sparkle to the outfit.",1,1,0,1,1,1,1,1.0,240,45,28,2,0,1,0,1,0,1,0,4
woman wearing a bright orange skirt. the skirt is made of a flowy material and has a wide waistband. the woman is also wearing a yellow shirt and a pair of black sandals.,1,2,0,0,1,1,1,0.5,170,33,22,3,0,3,0,1,0,1,0,3
blue jean jacket with a white zipper. the jacket has a distressed look and is worn by a woman. the jacket is made of denim material and has a zipper on the front.,1,,1,0,0,0,0,0.0,162,33,22,2,1,1,0,1,1,1,0,3
black leather jacket with a lace-up front and a silver zipper. the jacket has a ruffled collar and a silver-tone metal zipper pull. the jacket is worn over a white shirt and a black leather skirt.,1,,1,0,0,0,0,0.0,196,38,24,3,2,3,2,1,1,1,1,3
black leather jacket. the jacket has a silver zipper and a silver buckle on the front. the jacket also has a silver zipper on the sleeve. the jacket is worn by a mannequin and has a black leather belt with a silver buckle.,1,10,0,0,0,1,1,0.1,222,43,20,2,1,2,0,1,1,1,0,4
navy blue dress with a silver zipper and a white collar. the dress has a lace overlay and a silver zipper. the dress is worn by a woman with a white collar and a black belt.,1,2,0,0,1,1,1,0.5,173,36,20,5,1,2,1,1,1,1,1,3
"pink down jacket with a black zipper. the jacket has a hood, a front zipper, and a silver zipper pull. the jacket is made of a shiny material and has a quilted design.",1,1,0,1,1,1,1,1.0,167,33,21,3,0,1,1,1,0,1,1,3
"black long sleeve shirt with a skeleton print on the front. the shirt has a round neckline and long sleeves with a ribbed cuff. the skeleton print consists of bones and a skull, and the shirt is made of a soft material.",1,1,0,1,1,1,1,1.0,219,42,26,1,0,1,1,1,0,1,1,3
pair of beige pants. the pants are made of a shiny material and have a straight cut. they are designed to be worn with a relaxed fit and have a zipper closure.,1,,1,0,0,0,0,0.0,159,32,24,1,0,1,0,1,0,1,0,3
green dress with a v-neckline and long sleeves. the dress is made of a stretchy material and has a ribbed texture. the dress is a size medium and is worn by a woman with a ponytail.,1,5,0,0,1,1,1,0.2,181,37,24,1,0,1,1,1,0,1,1,3
pair of dark blue pants. the pants are made of a material that appears to be a cotton blend and have a flat front. the pants also have a slim fit and are cuffed at the bottom.,1,1,0,1,1,1,1,1.0,175,37,26,1,1,1,0,1,1,1,0,3
"black lace dress with a short sleeve design. the dress has a fitted bodice and a full skirt. the lace material is made of a stretchy fabric, making it comfortable to wear. the dress is suitable for formal occasions and can be dressed up or down depending on the occasion.",1,8,0,0,0,1,1,0.125,271,50,39,1,1,2,1,1,1,1,1,4
pink and grey coat. the coat is made of a soft material and has a grey collar. the coat also features a grey zipper and a pink lining. the coat is styled with a long length and a loose fit.,1,2,0,0,1,1,1,0.5,189,40,23,2,0,1,0,1,0,1,0,4
"white lace-up top with a high neckline and long sleeves. the top has a loose fit and features a front lace-up detail. the lace-up detail is made of a white lace material and is tied in the front. the top has a white color with a subtle sheen. the lace-up detail is the main feature of the top, and it adds a unique touch to the overall design.",1,2,0,0,1,1,1,0.5,343,72,36,1,1,1,1,1,1,1,1,5
black raincoat with a hood. the coat is made of a water-resistant material and has a drawstring at the waist. it also features a front zipper and two front pockets. the hood is long and has a drawstring at the neck. the coat is styled in a casual fashion and is suitable for rainy weather.,1,2,0,0,1,1,1,0.5,289,56,35,1,0,1,0,1,0,1,0,5
pair of jeans. the jeans are light blue in color and have a cuffed ankle style. they are made of denim material and have a relaxed fit. the jeans also have a front zipper closure and a coin pocket on the right side.,1,10,0,0,0,1,1,0.1,215,43,30,1,1,1,0,1,1,1,0,4
black and white dress with a floral pattern. the dress has a lace design and features a black and white color scheme. the dress is a midi length and has a fitted silhouette. the floral pattern is intricate and adds a touch of elegance to the dress.,1,,1,0,0,0,0,0.0,248,47,26,2,1,1,2,1,1,1,1,4
pair of brown leggings with a burgundy ribbed texture. the leggings have a zipper on the side and a small slit on the leg. the leggings are made of a stretchy material and have a high waist.,1,1,0,1,1,1,1,1.0,190,37,24,2,0,0,1,1,0,0,1,3
"striped navy and white top with short sleeves. the stripes are thin and the top is made of a soft, stretchy material. the neckline is a boatneck and the fit is loose and comfortable.",1,1,0,1,1,1,1,1.0,182,34,24,2,0,1,1,1,0,1,1,3
dress. the dress is made of a black and white print material. the dress has a short sleeve and a v-neckline. the dress is knee-length and has a loose fit.,1,,1,0,0,0,0,0.0,154,32,20,2,0,1,0,1,0,1,0,4
pair of black leggings. the leggings are made of a shiny material and have a zipper on the side. they are a skinny fit and have a high waist.,2,,1,0,0,0,0,0.0,141,29,20,1,0,0,0,1,0,0,0,3
"black and white pleated skirt. the skirt is made of a sheer material and has a black mesh overlay. the skirt is long and has a flowy, pleated design.",1,2,0,0,1,1,1,0.5,149,29,18,2,0,1,2,1,0,1,1,3
"black shirt with a zipper on the front. the shirt has a loose fit and is made of a soft material. the zipper is a prominent feature of the shirt, adding a modern touch to the otherwise classic design.",1,,1,0,0,0,0,0.0,200,39,26,1,0,1,0,1,0,1,0,3
"black dress with a sheer chiffon overlay. the dress has a round neckline, long sleeves, and a keyhole cutout at the back. the chiffon overlay is sheer and has a black lace trim. the dress is a midi length and has a fitted silhouette.",1,8,0,0,0,1,1,0.125,233,44,25,1,2,1,2,1,1,1,1,4
green dress with a halter neckline and a flowing skirt. the dress is made of a shiny material and has a back zipper closure. the dress is floor-length and has a flowing skirt that flares out at the bottom.,1,1,0,1,1,1,1,1.0,205,40,26,1,0,2,0,1,0,1,0,3
"white lace tank top. the lace is delicate and the top is made of a soft, lightweight material. the tank top has a rounded neckline and a straight hemline. the lace is intricate and covers the entire top, with a small section of the back left open.",1,,1,0,0,0,0,0.0,247,47,28,1,1,1,1,1,1,1,1,4
denim jacket. the jacket is blue in color and has a classic fit. it is made of denim material and features a front button closure. the jacket also has a front pocket and a collar.,1,,1,0,0,0,0,0.0,179,35,23,1,1,1,0,1,1,1,0,4
woman wearing a black and beige skirt. the skirt has a black and beige color combination and is made of a material that appears to be a knit or a stretchy fabric. the skirt is a knee-length and has a flowy and comfortable fit. the woman is wearing a black top that complements the skirt.,1,1,0,1,1,1,1,1.0,287,56,30,2,1,2,0,1,1,1,0,4
white blouse with a ruffled neckline and long sleeves. the blouse is made of a sheer material and has a loose fit.,2,5,0,0,1,1,1,0.2,114,22,18,1,0,1,2,1,0,1,1,2
"beige, stretchy, form-fitting skirt.",1,6,0,0,0,1,1,0.16666666666666666,36,5,5,1,0,1,0,1,0,1,0,1
beige leather jacket with a zipper closure. the jacket is worn over a white lace dress with a floral print. the dress has a round neckline and a fitted silhouette. the jacket is worn over a white lace dress with a floral print. the dress has a round neckline and a fitted silhouette.,1,1,0,1,1,1,1,1.0,283,53,22,2,2,2,2,1,1,1,1,5
"the image shows a woman wearing a brown dress with a plunging neckline and a mesh cutout design. the dress has a strapless design and a back zipper closure. the dress is made of a stretchy material and has a form-fitting silhouette. the mesh cutouts on the dress are a key feature, adding a unique touch to the overall design.",1,1,0,1,1,1,1,1.0,326,61,38,1,0,1,1,1,0,1,1,4
black and red dress with a tribal print. the dress has a black body with red accents and a red trim. the dress is sleeveless and has a plunging neckline. the dress is designed to resemble a mummy shape and has a black belt at the waist.,1,1,0,1,1,1,1,1.0,236,47,25,2,0,2,0,1,0,1,0,4
black bomber jacket with gold zippers and a red stripe on the sleeve. the jacket has a black leather collar and a black leather sleeve cuff. the jacket is made of a shiny black material and has a black and red stripe on the back.,1,1,0,1,1,1,1,1.0,229,45,23,3,1,1,1,1,1,1,1,3
blue and black jacket with a silver zipper. the jacket has a quilted design and is made of a shiny material. it is a belted jacket with a silver belt around the waist. the jacket is worn by a woman who is standing in front of a white background.,1,1,0,1,1,1,1,1.0,245,49,31,4,0,2,1,1,0,1,1,4
pink and white wrap skirt. the skirt has a pink wrap with a white skirt underneath. the skirt is short and has a bow on the side.,1,1,0,1,1,1,1,1.0,129,27,15,2,0,1,0,1,0,1,0,3
pair of printed pants. the pants have a floral print and are made of a stretchy material. the pants are high-waisted and have a wide leg. the pants are worn by a mannequin and are displayed on a white background.,1,,1,0,0,0,0,0.0,212,41,25,1,0,1,2,1,0,1,1,4
yellow dress with short sleeves and a round neckline. the dress is made of a shiny material and has a fitted silhouette.,1,1,0,1,1,1,1,1.0,120,22,18,1,0,1,0,1,0,1,0,2
"light blue, long sleeve, crew neck, tee shirt with a white, embroidered, bird logo on the front.",1,2,0,0,1,1,1,0.5,96,17,17,2,0,2,1,1,0,1,1,1
pair of red leggings with a white logo on the left leg. the leggings are made of spandex material and have a high waistband. the leggings are designed to be worn as a workout or yoga pant.,1,1,0,1,1,1,1,1.0,188,37,29,2,1,0,0,1,1,0,0,3
"white t-shirt with a red heart pattern on it. the hearts are scattered all over the shirt, and the design is quite unique. the t-shirt has a casual style and is made of a soft material.",1,1,0,1,1,1,1,1.0,185,38,28,2,0,1,0,1,0,1,0,3
black knit skirt. the skirt is made of a stretchy material and has a high waist. it is a close-fitting skirt that is suitable for wearing with a t-shirt or a sweater.,1,3,0,0,1,1,1,0.3333333333333333,166,34,26,1,1,3,0,1,1,1,0,3
"green sequin dress. the dress has a halter neckline and a mermaid silhouette. the sequins are shiny and reflect light, making the dress sparkle. the dress is made of a shiny material, possibly polyester or nylon, and has a stretchy fit. the dress is a fashionable choice for a night out or a special occasion.",1,1,0,1,1,1,1,1.0,309,55,35,1,2,1,0,1,1,1,0,5
"black and white floral print off-the-shoulder top with a high, loose, and flowing style.",1,,1,0,0,0,0,0.0,88,16,15,2,0,1,1,1,0,1,1,1
"black lace-up top with a loose fit and long sleeves. the top has a v-neck and a tie at the front. the material is a blend of polyester and cotton, and the style is a loose fit with a relaxed fit.",1,2,0,0,1,1,1,0.5,195,43,26,1,3,1,1,1,1,1,1,3
pink shirt with a tie. the shirt is made of a silky material and has a collared neckline. the tie is pink and made of the same silky material as the shirt. the shirt has a loose fit and is worn with the tie loosely tied around the neck.,1,1,0,1,1,1,1,1.0,236,49,24,1,0,1,0,1,0,1,0,4
pair of green cargo pants with a black belt. the pants have a zipper on the side and a pocket on the leg. the belt has a buckle and is worn around the waist.,2,1,0,1,1,1,1,1.0,157,34,23,2,0,2,0,1,0,1,0,3
"red skirt with a slit in the front. the skirt is made of a material that appears to be a type of fabric, and it has a fashion style that is suitable for both casual and formal occasions. the skirt is also available in a variety of colors, including red, orange, and yellow.",1,7,0,0,0,1,1,0.14285714285714285,273,53,36,3,0,1,0,1,0,1,0,3
"the main item is a white shirt with a black collar, a white sleeve, and a black cuff. the shirt has a round neckline and is made of a material that is not specified.",1,7,0,0,0,1,1,0.14285714285714285,165,34,22,2,0,1,0,1,0,1,0,2
"floral print dress. the dress is made of a lightweight material and has a flowy design. the dress is worn by a woman who is posing for the camera. the dress is a maxi style and has a v-neckline. the floral print consists of a mix of yellow, pink, and white flowers. the dress is a knee-length style and has a flowy skirt.",1,10,0,0,0,1,1,0.1,321,65,34,3,0,2,1,1,0,1,1,6
"blue and white plaid top with a ruffled off-the-shoulder neckline. the top is made of a lightweight material, possibly cotton or linen, and has a loose fit. the blue and white plaid pattern is a mix of solid blue and white stripes, with a few white squares mixed in.",1,1,0,1,1,1,1,1.0,266,51,32,2,2,1,3,1,1,1,1,3
green lace dress with a v-neckline and a short skirt. the dress has a zipper closure on the back and is made of a stretchy material. the dress is styled in a retro fashion and is perfect for a 50s themed party.,1,2,0,0,1,1,1,0.5,210,43,30,1,1,2,1,1,1,1,1,3
white shirt. the shirt is made of a sheer material and has a loose fit. it is worn by a woman who is wearing a silver metallic clutch.,1,1,0,1,1,1,1,1.0,134,28,22,2,0,1,2,1,0,1,1,3
pink skirt with hearts on it. the skirt is made of a cotton material and has a fashion style that is reminiscent of the 1950s.,1,1,0,1,1,1,1,1.0,126,25,20,1,1,1,0,1,1,1,0,2
"beige leather skirt. the skirt has a zipper closure and is made of a soft, supple leather material. the skirt is a midi length and has a straight cut. the leather is a light beige color and the skirt has a smooth texture.",1,5,0,0,1,1,1,0.2,221,43,23,1,1,1,0,1,1,1,0,4
black dress with a long sleeve design. the dress is made of a stretchy material and has a wrap-around design. the dress is also adorned with a ruffled design on the neckline and has a knot detail on the front.,1,,1,0,0,0,0,0.0,209,41,25,1,0,1,1,1,0,1,1,3
black and white checkered skirt. the skirt is made of a stretchy material and has a zipper on the side. the skirt is knee-length and has a fitted waistline.,1,3,0,0,1,1,1,0.3333333333333333,156,30,20,2,0,1,1,1,0,1,1,3
blue vest. the vest is made of a wool material and has a collar. it is a long vest that is worn over a white shirt. the vest is a light blue color and has a pocket on the front.,2,1,0,1,1,1,1,1.0,177,40,24,2,1,2,0,1,1,1,0,4
floral printed two piece dress. the top is a sleeveless crop top with a floral print and a high waist. the skirt is a midi length with a floral print and a satin finish. the dress is available in navy and pink colors.,1,4,0,0,1,1,1,0.25,217,43,26,2,1,3,2,1,1,1,1,4
