qi,query,rank_a,rank_b,rank_f
17,pair of pants. the pants are black and white striped with a wide black stripe on the side. the pants have a cropped length and a wide black belt with a silver buckle. the pants are worn by a woman who is standing and smiling.,101,56,101
18,black leather jacket with a zipper. the jacket has a quilted design and is worn by a woman.,26,72,34
19,"gray leather bomber jacket with a silver zipper. the jacket has a round neckline and long sleeves. the leather material is shiny and smooth, and the zipper is silver and shiny. the jacket is fashionable and stylish, perfect for any occasion.",1,2,1
20,"black and white skirt. the skirt is made of a wool blend material and has a flowy, a-line shape. it features a zipper closure on the back and a small slit on the front. the skirt is worn with a black top and is styled with a denim jacket and black tights.",101,101,101
21,"black and white floral embroidered fabric. the fabric has a black and white floral design with a combination of pink and white roses. the embroidery is done with a black thread, and the fabric has a sheer quality to it. the embroidery is intricate and detailed, with each flower and petal carefully stitched. the fabric is made of a delicate material, possibly silk or a similar fabric.",12,1,3
22,"black woolen skirt. the skirt is made of a thick, woolen material and has a high waist. the skirt is knee-length and has a straight cut. the skirt is paired with a black turtleneck sweater.",1,58,2
23,black dress with a floral embroidery on the front. the dress has a keyhole neckline and long sleeves with a ruffled cuff. the dress also features a back zipper closure and a flowy skirt with a ruffled hem. the dress is made of a stretchy material and has a loose fit.,29,1,6
24,"blue and white printed top with a v-neck and short sleeves. the top has a unique design with a mix of squares and triangles. the colors used are blue, white, and black. the fabric appears to be a blend of cotton and polyester. the top is styled in a modern fashion with a loose fit and a relaxed silhouette.",1,15,2
25,blue denim skirt with a high waist and a zipper closure on the front. the skirt has a frayed hemline and is made of a lightweight denim material.,101,101,101
26,"white t-shirt with a floral design featuring a heart-shaped logo. the shirt has a glittery appearance and is made of a glittery material. the floral design features a mix of different flowers, including some with pink and blue colors. the heart-shaped logo is located in the center of the design.",4,8,3
27,"dress with a floral print. the dress has a colorful pattern with a mix of orange, yellow, green, and brown colors. the dress is made of a shiny material, possibly metallic, and has a fitted silhouette. the dress also features a decorative collar and a long sleeve design.",3,1,2
28,"black and white floral print skirt. the skirt is made of a lightweight material and has a flowy, feminine style. the floral print consists of black and white flowers with green leaves. the skirt is knee-length and has a zipper closure on the side.",101,101,101
29,pair of black leather pants. the pants have a loose fit and feature a zipper on the front.,36,84,46
30,black lace top with a sheer black lace off-the-shoulder design. the top has a wide black lace cuff and a wide black lace hem. the top is worn with a black lace bra underneath.,5,1,4
31,"blue and white floral print skirt with a black lace trim. the skirt has a high waist and a flowy, tiered design. the floral print consists of blue and white flowers with green leaves. the lace trim adds a touch of elegance to the skirt.",71,28,35
32,"long flowing dress with a pattern of gray and black dots. the dress is made of a flowy material and has a loose fit. the dress is long and covers the entire body, with a high neckline and long sleeves. the dress is designed to be worn over a long-sleeved top or shirt, and it is suitable for both casual and formal occasions.",16,48,21
33,"pink and black bomber jacket with california written on the front in black letters. the jacket has a black zipper and a black collar. the jacket is made of a soft material, possibly cotton or a cotton blend. the jacket is a fashionable piece of clothing that can be worn in a variety of settings.",2,3,2
34,red dress with a v-neckline and long sleeves. the dress has a fitted bodice and a flared skirt. the fabric is a stretchy knit with a textured pattern. the dress is styled in a fashionable and modern way.,1,12,2
35,pair of khaki colored pants with a button and zipper closure. the pants have a five pocket design and are made of a stretchy material. the pants are worn by a woman who is standing and smiling.,1,27,1
36,black vest with a pink button on the front. the vest has a v-neck and is made of a stretchy material. the vest is worn over a black tank top.,1,1,1
37,dark blue satin skirt with a black belt. the skirt has a high waist and a wide band at the bottom. the belt is tied in a bow at the back. the skirt is full and has a flowy silhouette.,1,1,1
38,blue and white floral print dress with a hooded design. the dress has a front button placket and a front pocket. the sleeves are long and have a floral print. the dress is worn by a woman who is standing and smiling.,101,101,101
39,black and beige dress with a sheer black overlay. the dress has a v-neckline and a flowing skirt with a ruffled hem. the dress is made of a stretchy material and has a sleeveless design. the beige overlay is made of a sheer fabric that drapes over the black dress. the dress is styled for a formal event and is suitable for a night out.,101,101,101
40,pink and white blouse with a ruffled neckline and a floral pattern. the blouse is made of a sheer material and has a fitted silhouette.,101,101,101
41,"gray tank top with black lettering on it. the lettering says ""my head says say gym but my heart says pizza.""",2,2,2
42,pair of black and white leggings with a pattern of black lines on a white background. the leggings are made of a stretchy material and have a comfortable fit.,101,101,101
43,denim jacket with a hood. the jacket is gray in color and has a white zipper. the hood is made of a white knit material. the jacket also has a gray sweater underneath it.,1,2,2
44,pair of black leather leggings. the leggings are made of a shiny black leather material and have a zipper on the side. they are a fashionable style and are worn by a woman in the image.,101,52,101
45,"denim jacket with a floral embroidery on the back. the jacket is blue in color and has a collar, two front pockets, and a button on the cuff. the embroidery on the back of the jacket is made up of various flowers, including sunflowers, daisies, and roses. the jacket is worn by a woman who is standing in front of a white background.",18,16,11
46,pink cardigan with lace details. the cardigan is worn by a woman who is standing in front of a white wall. the lace details on the cardigan are white and the pink color is a light shade. the cardigan is a crochet style and has a loose fit. the woman is wearing a black tank top underneath the cardigan.,1,1,1
47,"pair of pants. the pants are gray in color and have a flowy, loose fit. they are printed with a white floral pattern. the pants are high-waisted and have a drawstring for adjustable fit.",12,14,8
48,black and white striped dress with a short black sleeve. the dress has a crew neckline and a short black sleeve. the dress is made of a stretchy knit material and has a fitted silhouette.,5,7,5
49,black leather jacket with a zipper on the front. the jacket has a silver zipper and a silver zipper pull. the jacket also has a silver zipper on the sleeve. the jacket is worn by a woman with long brown hair.,101,101,101
50,black sweater with a gray turtleneck underneath. the sweater has a unique design with a folded over front and a ruffled edge. the sleeves are long and have a loose fit. the sweater is worn by a woman who is standing in front of a white background.,18,12,9
51,black dress with a v-neckline and a draped skirt. the dress is made of a stretchy material and has a flowy fit. the dress is a size large and is designed to be worn by a plus-sized woman.,101,3,8
52,"white pleated shirt with a ruffled collar and a long sleeve design. the shirt has a button-down front and a pointed collar. the fabric is made of a lightweight material, possibly chiffon, and the shirt has a loose fit. the ruffles on the collar and cuffs are made of a different material, possibly lace or a sheer fabric. the overall style of the shirt is a blend of feminine and casual, suitable for both work and play.",33,101,57
53,black lace skirt. the skirt has a high waist and a lace design with a scalloped edge. it is a knee-length skirt and is paired with a black top.,101,101,101
54,"brown sweater with a v-neck and long sleeves. the sweater is made of a stretchy knit material and has a ribbed texture. the color of the sweater is a dark brown, almost a rust color. the sweater is designed to be worn oversized, with a loose fit that drapes well over the body.",101,101,101
55,"plaid shirt with a collar, long sleeves, and a button-down design. the shirt is made of a soft, gray and white fabric. the collar is folded down and the cuffs are folded back. the shirt has a relaxed fit and is suitable for casual wear.",15,3,8
56,beige linen vest with a front button closure and a single chest pocket. the vest has a relaxed fit and is unlined. it is worn over a white tank top and paired with a pair of khaki pants.,1,2,1
57,blue and pink dress. the dress has a pink top and a blue skirt. the dress also has a black belt around the waist.,3,12,2
58,"gray tank top with a pocket on the front. the tank top is made of a soft and stretchy material, and it has a rounded neckline. the pocket is a small, rectangular shape and is located on the left side of the tank top. the tank top is a loose fit and is designed to be worn with a high-waisted bottom.",6,1,5
59,red polo shirt with a collar and short sleeves. the shirt has a white logo on the front and is made of a soft cotton material.,14,24,17
60,pair of blue and white striped pants. the pants have a loose fit and are cuffed at the ankle. the pants are worn with a white belt that is tied around the waist.,6,17,6
61,tan and beige shearling jacket with a cream-colored sherpa collar. the jacket has a front zipper closure and a front button. the sleeves are long and have a ribbed cuff. the jacket is worn by a mannequin and is displayed in a store window.,1,2,1
62,"blue and white dress with lace details. the dress has a high neckline and a flowy skirt. the lace details are scattered throughout the dress, adding a delicate touch to the overall design. the dress is styled with a matching blue and white sash that ties at the waist. the dress is a fashionable and elegant choice for any special occasion.",2,101,5
63,"black dress with silver beading and sequins. the dress has a v-neckline and a short sleeve. the dress is a plus size and has a midi length. the beading and sequins are scattered throughout the dress, adding a touch of sparkle to the outfit.",49,101,101
64,woman wearing a bright orange skirt. the skirt is made of a flowy material and has a wide waistband. the woman is also wearing a yellow shirt and a pair of black sandals.,5,4,4
65,blue jean jacket with a white zipper. the jacket has a distressed look and is worn by a woman. the jacket is made of denim material and has a zipper on the front.,101,67,101
66,black leather jacket with a lace-up front and a silver zipper. the jacket has a ruffled collar and a silver-tone metal zipper pull. the jacket is worn over a white shirt and a black leather skirt.,101,101,101
67,black leather jacket. the jacket has a silver zipper and a silver buckle on the front. the jacket also has a silver zipper on the sleeve. the jacket is worn by a mannequin and has a black leather belt with a silver buckle.,101,36,40
68,navy blue dress with a silver zipper and a white collar. the dress has a lace overlay and a silver zipper. the dress is worn by a woman with a white collar and a black belt.,30,9,13
69,"pink down jacket with a black zipper. the jacket has a hood, a front zipper, and a silver zipper pull. the jacket is made of a shiny material and has a quilted design.",3,5,4
70,"black long sleeve shirt with a skeleton print on the front. the shirt has a round neckline and long sleeves with a ribbed cuff. the skeleton print consists of bones and a skull, and the shirt is made of a soft material.",1,1,1
71,pair of beige pants. the pants are made of a shiny material and have a straight cut. they are designed to be worn with a relaxed fit and have a zipper closure.,101,101,101
72,green dress with a v-neckline and long sleeves. the dress is made of a stretchy material and has a ribbed texture. the dress is a size medium and is worn by a woman with a ponytail.,64,19,36
73,pair of dark blue pants. the pants are made of a material that appears to be a cotton blend and have a flat front. the pants also have a slim fit and are cuffed at the bottom.,9,14,5
74,"black lace dress with a short sleeve design. the dress has a fitted bodice and a full skirt. the lace material is made of a stretchy fabric, making it comfortable to wear. the dress is suitable for formal occasions and can be dressed up or down depending on the occasion.",101,77,82
75,pink and grey coat. the coat is made of a soft material and has a grey collar. the coat also features a grey zipper and a pink lining. the coat is styled with a long length and a loose fit.,5,8,4
76,"white lace-up top with a high neckline and long sleeves. the top has a loose fit and features a front lace-up detail. the lace-up detail is made of a white lace material and is tied in the front. the top has a white color with a subtle sheen. the lace-up detail is the main feature of the top, and it adds a unique touch to the overall design.",13,18,3
77,black raincoat with a hood. the coat is made of a water-resistant material and has a drawstring at the waist. it also features a front zipper and two front pockets. the hood is long and has a drawstring at the neck. the coat is styled in a casual fashion and is suitable for rainy weather.,22,85,36
78,pair of jeans. the jeans are light blue in color and have a cuffed ankle style. they are made of denim material and have a relaxed fit. the jeans also have a front zipper closure and a coin pocket on the right side.,101,61,100
79,black and white dress with a floral pattern. the dress has a lace design and features a black and white color scheme. the dress is a midi length and has a fitted silhouette. the floral pattern is intricate and adds a touch of elegance to the dress.,101,101,101
80,pair of brown leggings with a burgundy ribbed texture. the leggings have a zipper on the side and a small slit on the leg. the leggings are made of a stretchy material and have a high waist.,4,2,3
81,"striped navy and white top with short sleeves. the stripes are thin and the top is made of a soft, stretchy material. the neckline is a boatneck and the fit is loose and comfortable.",18,2,4
82,dress. the dress is made of a black and white print material. the dress has a short sleeve and a v-neckline. the dress is knee-length and has a loose fit.,101,101,101
83,pair of black leggings. the leggings are made of a shiny material and have a zipper on the side. they are a skinny fit and have a high waist.,101,101,101
84,"black and white pleated skirt. the skirt is made of a sheer material and has a black mesh overlay. the skirt is long and has a flowy, pleated design.",33,42,31
85,"black shirt with a zipper on the front. the shirt has a loose fit and is made of a soft material. the zipper is a prominent feature of the shirt, adding a modern touch to the otherwise classic design.",101,101,101
86,"black dress with a sheer chiffon overlay. the dress has a round neckline, long sleeves, and a keyhole cutout at the back. the chiffon overlay is sheer and has a black lace trim. the dress is a midi length and has a fitted silhouette.",101,19,36
87,green dress with a halter neckline and a flowing skirt. the dress is made of a shiny material and has a back zipper closure. the dress is floor-length and has a flowing skirt that flares out at the bottom.,8,2,2
88,"white lace tank top. the lace is delicate and the top is made of a soft, lightweight material. the tank top has a rounded neckline and a straight hemline. the lace is intricate and covers the entire top, with a small section of the back left open.",101,101,101
89,denim jacket. the jacket is blue in color and has a classic fit. it is made of denim material and features a front button closure. the jacket also has a front pocket and a collar.,101,101,101
90,woman wearing a black and beige skirt. the skirt has a black and beige color combination and is made of a material that appears to be a knit or a stretchy fabric. the skirt is a knee-length and has a flowy and comfortable fit. the woman is wearing a black top that complements the skirt.,6,1,2
91,white blouse with a ruffled neckline and long sleeves. the blouse is made of a sheer material and has a loose fit.,101,101,101
92,"beige, stretchy, form-fitting skirt.",72,101,68
93,beige leather jacket with a zipper closure. the jacket is worn over a white lace dress with a floral print. the dress has a round neckline and a fitted silhouette. the jacket is worn over a white lace dress with a floral print. the dress has a round neckline and a fitted silhouette.,1,25,2
94,"the image shows a woman wearing a brown dress with a plunging neckline and a mesh cutout design. the dress has a strapless design and a back zipper closure. the dress is made of a stretchy material and has a form-fitting silhouette. the mesh cutouts on the dress are a key feature, adding a unique touch to the overall design.",1,1,1
95,black and red dress with a tribal print. the dress has a black body with red accents and a red trim. the dress is sleeveless and has a plunging neckline. the dress is designed to resemble a mummy shape and has a black belt at the waist.,20,7,10
96,black bomber jacket with gold zippers and a red stripe on the sleeve. the jacket has a black leather collar and a black leather sleeve cuff. the jacket is made of a shiny black material and has a black and red stripe on the back.,5,2,3
97,blue and black jacket with a silver zipper. the jacket has a quilted design and is made of a shiny material. it is a belted jacket with a silver belt around the waist. the jacket is worn by a woman who is standing in front of a white background.,1,1,1
98,pink and white wrap skirt. the skirt has a pink wrap with a white skirt underneath. the skirt is short and has a bow on the side.,1,4,2
99,pair of printed pants. the pants have a floral print and are made of a stretchy material. the pants are high-waisted and have a wide leg. the pants are worn by a mannequin and are displayed on a white background.,101,101,101
100,yellow dress with short sleeves and a round neckline. the dress is made of a shiny material and has a fitted silhouette.,19,10,12
101,"light blue, long sleeve, crew neck, tee shirt with a white, embroidered, bird logo on the front.",33,11,14
102,pair of red leggings with a white logo on the left leg. the leggings are made of spandex material and have a high waistband. the leggings are designed to be worn as a workout or yoga pant.,2,27,9
103,"white t-shirt with a red heart pattern on it. the hearts are scattered all over the shirt, and the design is quite unique. the t-shirt has a casual style and is made of a soft material.",3,3,2
104,black knit skirt. the skirt is made of a stretchy material and has a high waist. it is a close-fitting skirt that is suitable for wearing with a t-shirt or a sweater.,27,34,8
105,"green sequin dress. the dress has a halter neckline and a mermaid silhouette. the sequins are shiny and reflect light, making the dress sparkle. the dress is made of a shiny material, possibly polyester or nylon, and has a stretchy fit. the dress is a fashionable choice for a night out or a special occasion.",4,5,4
106,"black and white floral print off-the-shoulder top with a high, loose, and flowing style.",101,101,101
107,"black lace-up top with a loose fit and long sleeves. the top has a v-neck and a tie at the front. the material is a blend of polyester and cotton, and the style is a loose fit with a relaxed fit.",20,5,7
108,pink shirt with a tie. the shirt is made of a silky material and has a collared neckline. the tie is pink and made of the same silky material as the shirt. the shirt has a loose fit and is worn with the tie loosely tied around the neck.,2,2,1
109,pair of green cargo pants with a black belt. the pants have a zipper on the side and a pocket on the leg. the belt has a buckle and is worn around the waist.,4,20,14
110,"red skirt with a slit in the front. the skirt is made of a material that appears to be a type of fabric, and it has a fashion style that is suitable for both casual and formal occasions. the skirt is also available in a variety of colors, including red, orange, and yellow.",74,49,53
111,"the main item is a white shirt with a black collar, a white sleeve, and a black cuff. the shirt has a round neckline and is made of a material that is not specified.",101,101,101
112,"floral print dress. the dress is made of a lightweight material and has a flowy design. the dress is worn by a woman who is posing for the camera. the dress is a maxi style and has a v-neckline. the floral print consists of a mix of yellow, pink, and white flowers. the dress is a knee-length style and has a flowy skirt.",101,101,101
113,"blue and white plaid top with a ruffled off-the-shoulder neckline. the top is made of a lightweight material, possibly cotton or linen, and has a loose fit. the blue and white plaid pattern is a mix of solid blue and white stripes, with a few white squares mixed in.",14,1,5
114,green lace dress with a v-neckline and a short skirt. the dress has a zipper closure on the back and is made of a stretchy material. the dress is styled in a retro fashion and is perfect for a 50s themed party.,2,1,1
115,white shirt. the shirt is made of a sheer material and has a loose fit. it is worn by a woman who is wearing a silver metallic clutch.,1,1,1
116,pink skirt with hearts on it. the skirt is made of a cotton material and has a fashion style that is reminiscent of the 1950s.,1,1,1
117,"beige leather skirt. the skirt has a zipper closure and is made of a soft, supple leather material. the skirt is a midi length and has a straight cut. the leather is a light beige color and the skirt has a smooth texture.",101,101,101
118,black dress with a long sleeve design. the dress is made of a stretchy material and has a wrap-around design. the dress is also adorned with a ruffled design on the neckline and has a knot detail on the front.,101,101,101
119,black and white checkered skirt. the skirt is made of a stretchy material and has a zipper on the side. the skirt is knee-length and has a fitted waistline.,19,17,10
120,blue vest. the vest is made of a wool material and has a collar. it is a long vest that is worn over a white shirt. the vest is a light blue color and has a pocket on the front.,6,13,6
121,floral printed two piece dress. the top is a sleeveless crop top with a floral print and a high waist. the skirt is a midi length with a floral print and a satin finish. the dress is available in navy and pink colors.,78,4,10
122,woman wearing a red dress. the dress has a v-neckline and three-quarter length sleeves. the dress is made of a shiny material and has a fitted style.,82,101,88
123,"floral print romper with a halter neckline and a drawstring waist. the romper is made of a lightweight material and has a flowy fit. the floral print consists of pink, blue, and purple flowers on a white background. the romper is suitable for a casual summer outfit.",101,11,39
124,pink and black shirt with a v-neck design. the shirt has a pink background with black lines and a black v-neck. the shirt is made of a stretchy material and has a loose fit.,17,3,7
125,black and red dress with a floral pattern. the dress has a v-neckline and long sleeves. the dress is made of a stretchy material and has a flowy fit.,21,32,24
126,"blue floral dress with a black belt at the waist. the dress has a midi length and a square neckline. the floral pattern consists of blue and green flowers with a mix of solid blue and green areas. the dress is made of a shiny material, possibly a metallic fabric, and has a fitted silhouette.",8,13,8
127,brown leather jacket with a brown and black scarf. the jacket has a zipper and a collar. the scarf is made of wool and has a fringe on the ends. the jacket and scarf are styled together to create a fashionable look.,1,1,1
128,black tulle skirt. the tulle is shiny and has a glittery effect. the skirt is a midi length and has a stretchy elastic waistband.,5,3,4
129,"black leather jacket with a silver zipper. the jacket has a biker style and is made of leather. it features a zipper on the front, a silver buckle on the shoulder, and a silver zipper on the sleeve. the jacket is worn by a woman who is wearing a white shirt underneath.",101,101,101
130,red wrap dress with a belt. the dress is made of a soft material and has a loose fit. the belt is made of a different material and is brown in color. the dress has a long sleeve and a short hemline.,13,14,8
131,black cape dress with a white belt around the waist. the dress has a loose fit and is made of a shiny material. the dress is worn by a woman who is standing in front of a white wall.,27,101,81
132,"brown long sleeve shirt with a green button. the shirt has a round neckline and a small logo on the left side. the material is a soft knit, and the shirt is a heathered brown color.",1,1,1
133,woman wearing a navy blue dress.,101,55,101
134,"beige, high-waisted, belted skirt with a front slit. the skirt is made of a lightweight material and has a relaxed fit. it is a neutral color that can be dressed up or down.",5,9,4
135,purple and blue blouse with a ruffled collar and cuffs. the fabric is a sheer chiffon and the blouse has a loose fit.,2,54,4
136,blue jean skirt with a zipper on the front. the skirt is made of denim material and has a classic fit. it is a mid-length skirt that falls just above the knee.,101,77,101
137,a woman wearing a black and gold jacket with a lace overlay on top of it. the jacket has a v-neckline and long sleeves. the lace overlay has a floral pattern and is black in color.,1,7,3
138,pink coat with a fur collar. the coat has a zipper closure and a button on the front. the fur collar is brown and the coat is made of a material that resembles leather. the coat is styled in a fashionable manner and is suitable for cold weather.,2,3,2
139,"striped skirt with a multicolored pattern. the skirt has a zipper closure and is made of a material that resembles denim. the stripes are thin and come in various colors, including blue, white, pink, and green. the skirt is a mini-length and has a flirty, feminine style.",3,2,1
140,"long, gray, off-the-shoulder dress with a silver metallic threaded design throughout. the dress has a sweetheart neckline and a flowing skirt with a small slit on the side. the dress is worn by a woman with a dark complexion and long, dark hair.",1,101,1
141,"black vest with a silver zipper. the vest is made of a shiny material and has a long, flowing design. it is worn over a black tank top and is paired with a black skirt.",68,101,101
142,blue and white sports bra with a floral print. the bra has a black and white color scheme with a blue and white floral print. the straps are black and the back of the bra has a black and white floral print. the bra has a high neckline and a low back. the front of the bra has a blue and white floral print with a black trim. the back of the bra has a black trim. the bra has a blue and white color scheme with a black trim.,16,19,14
143,"brown winter coat with a hood. the coat is made of a thick, quilted material and has a belted waist. it also features a fur-trimmed hood and a long, belted waist. the coat is designed to keep the wearer warm and stylish during the winter months.",11,10,11
144,"pair of black leggings with a white design on the side. the leggings are made of spandex and have a compression fit. they are designed for high-impact activities and are meant to be worn during workouts. the leggings have a sporty look and are suitable for running, yoga, or any other activity that requires a tight fit.",101,101,101
145,red wrap dress with a tie at the waist. the dress is made of a flowy material and has a boho style. the dress is floor-length and has short sleeves.,1,2,2
146,"grey and white striped dress with a round neckline and short sleeves. the dress has a tiered skirt with a ruffled hemline. the dress is made of a soft, stretchy material and has a fitted bodice with a flared skirt. the dress is a fashionable and stylish choice for a casual or formal occasion.",27,5,9
147,"white long sleeve t-shirt with a v-neck and a round neckline. the shirt is made of a soft, lightweight material and has a relaxed fit.",35,69,39
148,"brown and white shirt with the word ""outrageous"" written on it.",1,1,1
149,"denim shirt with a floral embroidery on the front. the shirt is light blue in color and has a relaxed fit. the embroidery consists of white and red flowers, which are scattered across the shirt. the shirt also has a button-down collar and long sleeves with cuffs.",11,3,3
150,red off the shoulder ball gown with a ruffled skirt. the dress is made of a shiny material and has a mermaid silhouette.,5,5,5
151,brown suede dress. the dress has a v-neckline and a zipper closure on the back. the dress is short and has a suede fabric. the dress is brown in color and has a leather-like texture.,1,1,1
152,woman wearing a long red dress. the dress has a boat neckline and a long sleeve. the dress is made of a shiny material and has a flowy skirt. the woman is also wearing a pair of black pumps.,74,101,84
153,"striped blue and white shirt with a collared button-down design. the shirt has a front button placket, long sleeves with button cuffs, and a relaxed fit. the stripes are thin and the colors are light blue and white. the shirt is fashioned in a casual style and is suitable for both men and women.",101,101,101
154,white midi skirt with a black belt. the skirt has a pleated design and is made of a smooth material.,101,101,101
155,blue dress with a short sleeve and a wrap style. the dress has a polka dot pattern and is made of a lightweight material. the dress is knee-length and has a fitted bodice with a flowy skirt.,26,81,33
156,beige suede sleeveless top with a rounded neckline and a relaxed fit.,1,1,1
157,dark blue denim skirt with a black belt. the skirt has a wrap style and a front slit. the belt is made of leather and has a gold buckle. the skirt is a midi length and has a front zipper closure.,10,6,5
158,"black velvet pencil skirt with a ruffled hem. the skirt has a high waist and a wide, flared bottom. the ruffles are black and appear to be made of a different material than the rest of the skirt. the skirt is styled in a fashionable manner and is suitable for a variety of occasions.",1,2,1
159,"long, light pink, flowing chiffon dress.",101,28,101
160,white shirt with a collar. the shirt has a button-down design and is made of a lightweight material. the shirt is long-sleeved and has a loose fit. the collar is folded down and the cuffs are rolled up. the shirt is worn by a woman who is standing in front of a white background.,77,101,40
161,brown leather jacket with a gray faux fur collar. the jacket has a zipper closure and two front pockets. the sleeves are long and have a ribbed cuff. the jacket is worn over a white shirt and a gray sweater.,22,101,44
162,"black and white floral print top with long bell sleeves and a drawstring waist. the top is a flowy, boho-style blouse that is perfect for a casual day out.",35,8,18
163,"white and black plaid shirt with a high collar and long sleeves. the shirt has a loose fit and is made of a lightweight material. the plaid pattern consists of small, square-shaped blocks in white, black, and gray.",53,84,56
164,"grey tank top with a green logo on it. the tank top is made of a material that is not specified, but it appears to be a type of fabric. the tank top has a sleeveless design and features a black and white graphic print. the green logo on the tank top is a word ""great"" written in a bold font.",2,1,2
165,"white midi skirt with a lace overlay. the skirt is made of a lightweight material, possibly cotton or linen, and has a fitted waistline. the lace overlay adds a touch of femininity and elegance to the skirt.",101,53,85
166,tank top with a built-in bra. the tank top is navy blue with white and gray accents. it has a mesh design with a white and gray color scheme. the tank top is made of a polyester and spandex blend material. it is a sleeveless design with a scoop neckline. the tank top is designed for women and is a sportswear item.,7,1,4
167,blue and white striped shirt with a collar. the shirt has a loose fit and is made of a lightweight material. the stripes are thin and the shirt has a relaxed fit.,101,101,101
168,"black mesh shirt with a lace-up front and a skull and crossbones design. the shirt has a see-through mesh design with a black lace-up front and a skull and crossbones design. the mesh is made of a clear plastic material, and the lace-up front is made of black lace. the shirt has a fashionable style and is suitable for wearing on halloween.",1,1,1
169,"tie dye top with a relaxed fit. the colors are black, white, and grey. the material is a blend of cotton and polyester. the top has a loose fit and features a button-down collar.",2,6,2
170,"pair of blue leggings with a printed design. the leggings are made of a stretchy material and have a high waistband. the design features a mix of solid and printed colors, with a focus on darker shades. the leggings are worn by a woman who is also wearing a sports bra and a sports top.",101,101,101
171,"pair of dark brown jeans. the jeans have a straight leg fit and are made of a soft, stretchy material. the jeans are held up by a black belt and have a zipper and button closure. the jeans are worn by a woman who is standing and has her hands on her hips.",101,34,65
172,black satin skirt with a white lace overlay. the skirt has a petticoat underneath and a satin waistband. the lace overlay has a floral design and is gathered at the waist.,101,101,101
173,"black and blue floral print button-down shirt. the shirt has a loose fit and features a collar, long sleeves, and a front button placket. the floral pattern consists of various colors, including blue, pink, and yellow, and the shirt is made of a lightweight material, possibly cotton or linen.",3,7,1
174,black coat with gold buttons. the coat has a double breasted design and is worn with a black skirt. the coat is made of a shiny material and has a gold button on each side of the collar.,1,2,1
175,"beige suede fringe skirt. the skirt is made of soft suede material and has a high waistline. it is a midi length skirt with a wide band of fringe at the bottom. the fringe is made of long, thin strips of suede that hang down from the skirt. the skirt is a fashionable and versatile piece that can be dressed up or down.",2,1,1
176,pair of white jeans. the jeans are made of denim material and have a classic five-pocket design. they are worn by a woman who is standing and appears to be wearing a black belt.,101,101,101
177,brown denim skirt with a zipper closure. the skirt is made of denim material and has a zipper on the front.,4,101,16
